,0
0,0.0
1,0.0
2,0.0
3,47.57643695855286
4,327.6862592706178
5,888.8609657694168
6,2128.397360439394
7,2828.889017399706
8,2993.652850137604
9,3097.344206181837
10,2855.3115319150747
11,2756.318511642881
12,2365.6288577298938
13,2408.73591716449
14,2181.584653762801
15,1834.450548875442
16,1349.4096123441104
17,592.11313936675
18,244.84792183399693
19,36.001136223241375
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,176.87948798236386
28,456.2769129156018
29,996.4091154473014
30,1946.0896625993066
31,2971.1522346918696
32,3562.2068567401484
33,3775.4044186365713
34,3491.931047251023
35,3601.434213198737
36,3532.384018970151
37,3428.3192703041905
38,3352.439207109823
39,2515.682259083786
40,1621.8265665547572
41,798.4537808626644
42,347.5807944734308
43,80.5486212712443
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,20.13989968674539
51,231.5220932617031
52,582.1404942563436
53,1470.2723247001538
54,2708.3544558563685
55,3972.591355792198
56,4506.919205224101
57,4808.6553313365785
58,4770.537204517775
59,4448.319499516795
60,4206.4730869876
61,3708.8801442787435
62,2939.6125101189878
63,2064.3082458441286
64,1416.2370017619214
65,856.3136726470113
66,456.96097431234716
67,136.18114010756804
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,7.8903547784176675
75,158.42371003977507
76,416.6272305483396
77,1364.8382179332377
78,2530.421964905754
79,3776.5719980608137
80,4117.744305418913
81,3684.160701224093
82,3496.6527633462424
83,3296.3309799215967
84,3280.592090657653
85,3301.5072233762858
86,3442.843794229803
87,2730.45934686586
88,1602.9322779797594
89,796.9032776979379
90,346.33617511847535
91,152.90064822282622
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,43.80636328743277
99,237.12384248014897
100,616.8229243887533
101,1515.423397599832
102,2812.5438636875374
103,3746.148727129767
104,4467.015999791154
105,4559.435161797975
106,4909.230230386026
107,5018.41135115853
108,4818.570194313585
109,4261.809662059336
110,3754.99127814247
111,2795.3234441018435
112,1832.9687835905354
113,1039.4330958385815
114,510.20361621489013
115,190.3274455629382
116,18.274506356271665
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,64.43935162499449
123,246.25204495134759
124,724.9082476486208
125,1598.8475107355675
126,2816.7654689137676
127,3710.033646942737
128,3936.9227704098266
129,3604.08554960006
130,3703.5190110885437
131,3552.097536681623
132,3663.0308982859087
133,3542.0448890903936
134,3282.884706294778
135,2332.0749592432385
136,1691.408666514793
137,995.6667386681399
138,523.1883728604918
139,188.36323604385768
140,31.7983770483865
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,46.95755228627505
147,239.16279498629015
148,707.389605791994
149,1617.2823126831595
150,2961.277395721265
151,3990.5730026283977
152,4581.582786137012
153,4508.10683195005
154,4222.54215495046
155,4118.511458771379
156,3961.15200079628
157,3571.5054377769193
158,3169.073001206259
159,2360.2031696054805
160,1676.0198608470175
161,1032.2856838476766
162,498.06999305582417
163,183.25220837985358
164,16.41449789599512
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,4.1762788536315165
171,40.83260536269025
172,134.63953492616838
173,185.8474646818948
174,217.6432067672536
175,446.8939864269833
176,516.6061555923401
177,600.5297040443543
178,741.3633544162391
179,1201.089396440799
180,1648.7478308182556
181,2132.2057654270748
182,2027.1173293634308
183,1738.7667561212172
184,1293.3862295857502
185,648.6124764172912
186,339.3499433485934
187,162.22676356136358
188,16.522935248371002
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,27.038462958950124
195,168.9747974390446
196,323.82083293690226
197,590.2749668335471
198,1346.0599855274488
199,1963.124057222059
200,2116.303924074772
201,2108.5814248110114
202,2702.6222286308343
203,2325.099774283738
204,2441.5161324344967
205,2659.546491727578
206,2340.6393430463904
207,1292.992359172323
208,678.3852717554802
209,369.14332541268266
210,231.10171388184474
211,77.13560643475196
212,3.653905307980501
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,9.68606842698101
219,64.8663181592738
220,135.8866992607145
221,207.3382159175495
222,620.9229783426325
223,1098.7976959972873
224,1670.598022529557
225,1549.329078905776
226,1410.7926442303049
227,1517.811540153812
228,1300.028456127617
229,1150.8081198759319
230,870.2783297773228
231,679.1558845663168
232,532.2112570012551
233,309.75304259551353
234,235.350423666988
235,70.40557337342254
236,28.013643268460836
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,9.457935419158332
243,138.80793526123253
244,298.122485276245
245,621.044968573931
246,1189.5439106379063
247,1520.048669147554
248,1876.3394038624547
249,932.4793273625462
250,1026.0958075479311
251,1389.4471433992985
252,1329.8782583598463
253,1650.5023439617617
254,1738.8630743438523
255,1764.498838168865
256,1624.3502096479117
257,952.410070790296
258,473.04198299435666
259,223.488290812547
260,52.68950253517641
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,57.856644902610626
267,184.25858018391352
268,340.6781348352506
269,761.5959256200351
270,1150.7195981998416
271,1523.8510770918404
272,1769.0446979672286
273,1668.7496303528665
274,1678.5357456237218
275,1726.009212950629
276,1781.344870270696
277,1501.041865137871
278,1399.802771684902
279,1188.6508549017967
280,655.8558220053021
281,365.7307727680577
282,191.54673453745616
283,83.69865831155465
284,21.61163705561402
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,57.70765426108941
291,199.2097815256273
292,324.17314973511617
293,683.0856167371174
294,1206.1082647359535
295,1519.1870874131087
296,1674.9590719636926
297,1911.5107582193557
298,1920.8864207093636
299,2047.7379017106553
300,1599.369961747996
301,1526.7585516037843
302,1470.9332829051395
303,1411.1293698334637
304,1012.2475089180198
305,562.6349480880057
306,387.69236138684454
307,214.88353722365179
308,36.97890185036744
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,63.41977223464017
315,218.35809394277786
316,509.13006944311365
317,851.9114627128843
318,1416.7030341707525
319,1778.2580818431347
320,2418.243289295143
321,2529.112520321089
322,2138.1518359228517
323,1890.3276332535168
324,1761.0997589766646
325,1349.598481131097
326,986.4635488934895
327,741.5477945445026
328,685.3477117836244
329,392.84807057801555
330,210.75956450501064
331,67.48581922784726
332,17.08375618631466
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,2.512542921033328
339,76.46228321619758
340,221.23576118869266
341,467.0769826670779
342,703.2119945228203
343,886.6690746039637
344,1245.285504393859
345,1324.0633801546862
346,1495.784616783451
347,1474.7991299529806
348,1398.9124138676978
349,1251.1305438804752
350,1206.8432527838513
351,1064.9464033407255
352,719.7847763395915
353,539.6285715375319
354,290.8791831432786
355,127.2962164062957
356,26.640747934559233
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,33.00925575175779
363,140.7142095861322
364,293.0765742482032
365,498.88241355501606
366,610.0028489653266
367,1196.4238940724904
